name,price,type,efficiency,wattage,modular,color,snapshot_date
Thermaltake TOUGHPOWER PF1 ARGB,278.99,ATX,platinum,850,Full,,2023-08-06
Silverstone TX300,81.34,TFX,bronze,300,False,Black,2023-08-06
SeaSonic FOCUS,203.14,ATX,platinum,550,Full,Black,2023-08-06
Cougar POLAR,254.92,ATX,platinum,1200,Full,White,2023-08-06
Phanteks AMP v2,149.99,ATX,gold,1000,Full,Black,2023-08-06
MSI MEG Ai1000P PCIE5,279.99,ATX,platinum,1000,Full,Black / Copper,2023-08-06
GameMax RGB Rainbow,99.99,ATX,gold,850,Full,Black,2023-08-06
SeaSonic S12III,96.0,ATX,bronze,650,False,Black,2023-08-06
Thermaltake Toughpower GF3 TT Premium,89.99,ATX,gold,750,Full,Black,2023-08-06
Asus ROG THOR P2 Gaming,309.99,ATX,platinum,1000,Full,Silver / Black,2023-08-06
Gigabyte P450B,87.29,ATX,bronze,450,False,Black,2023-08-06
Corsair RM1000e (2022),210.0,ATX,gold,1000,Full,Black,2023-08-06
Thermaltake Smart BM2,117.94,ATX,bronze,650,Semi,Black,2023-08-06
Super Flower Leadex V Pro,149.99,ATX,platinum,1000,Full,White,2023-08-06
Phanteks Revolt SFX,94.99,SFX,gold,650,Full,Black,2023-08-06
Corsair SF600,289.0,SFX,platinum,600,Full,Black,2023-08-06
ADATA XPG CORE Reactor 850,114.99,ATX,gold,850,Full,Black,2023-08-06
Cooler Master MasterWatt,89.99,ATX,bronze,650,Semi,,2023-08-06
Thermaltake Toughpower GF3 TT Premium,109.99,ATX,gold,850,Full,Black,2023-08-06
Raidmax Cobra,49.99,ATX,bronze,700,False,,2023-08-06
EVGA 600 BR,119.66,ATX,bronze,600,False,,2023-08-06
Thermaltake Smart BX1,93.89,ATX,bronze,750,False,Black,2023-08-06
SeaSonic FOCUS GX,166.98,ATX,gold,850,Full,Black,2023-08-06
SeaSonic FOCUS Plus Platinum,176.99,ATX,platinum,850,Full,,2023-08-06
Asus ROG THOR P2 Gaming,349.99,ATX,platinum,1200,Full,Silver / Black,2023-08-06
EVGA 400 N1,47.94,ATX,,400,False,,2023-08-06
EVGA SuperNOVA 750 GM,129.99,SFX,gold,750,Full,Black,2023-08-06
SeaSonic PRIME PX-1300,288.45,ATX,platinum,1300,Full,Black,2023-08-06
Corsair RM750 (2019),249.96,ATX,gold,750,Full,Black,2023-08-06
be quiet! Straight Power 11,174.9,ATX,platinum,850,Full,Black,2023-08-06
EVGA SuperNOVA 650 G5,109.99,ATX,gold,650,Full,Black / Green,2023-08-06
MSI MAG A550BN,68.68,ATX,bronze,550,False,Black,2023-08-06
EVGA 550 BP,72.45,ATX,bronze,550,False,Black,2023-08-06
EVGA SuperNOVA 850 GM,149.99,SFX,gold,850,Full,Black,2023-08-06
SeaSonic PRIME TX,529.99,ATX,titanium,1600,Full,Black / Silver,2023-08-06
Corsair SF850L,179.99,SFX,gold,850,Full,Black,2023-08-06
Cooler Master V850 SFX GOLD,119.99,SFX,gold,850,Full,White,2023-08-06
SeaSonic FOCUS GX,145.98,ATX,gold,750,Full,Black,2023-08-06
Corsair RM1000x,260.0,ATX,gold,1000,Full,,2023-08-06
Asus TUF Gaming 1000G,159.99,ATX,gold,1000,Full,Black,2023-08-06
SeaSonic S12III,70.03,ATX,bronze,500,False,Black,2023-08-06
Corsair RM650,214.99,ATX,gold,650,Full,Black,2023-08-06
Phanteks AMP v2,149.99,ATX,gold,1000,Full,White,2023-08-06
be quiet! Pure Power 11,78.59,ATX,gold,500,False,Black,2023-08-06
CoolMax I-500,26.68,ATX,,500,False,,2023-08-06
Deepcool PM850D,92.99,ATX,gold,850,False,Black,2023-08-06
be quiet! Pure Power 12 M,91.31,ATX,gold,550,Full,Black,2023-08-06
SeaSonic PRIME Ultra Titanium,330.0,ATX,titanium,1000,Full,,2023-08-06
Enermax REVOLUTION D.F. 2,109.99,ATX,gold,850,Full,Black,2023-08-06
