name,price,core_count,core_clock,boost_clock,tdp,graphics,smt,snapshot_date,microarchitecture
Intel Xeon E5-2665,319.33,8,2.4,3.1,115,,True,2023-08-06,
Intel Xeon E5-2695 V3,498.95,14,2.3,3.3,120,,True,2023-08-06,
Intel Xeon E5-2603 V2,153.01,4,1.8,,80,,False,2023-08-06,
Intel Pentium G3470,94.0,2,3.6,,53,Intel HD Graphics,False,2023-08-06,
AMD Opteron 6328,715.11,8,3.2,3.8,115,,False,2023-08-06,
Intel Celeron G3930,182.81,2,2.9,,51,Intel HD Graphics 610,False,2023-08-06,
Intel Core i3-7300T,125.36,2,3.5,,35,Intel HD Graphics 630,True,2023-08-06,
Intel Xeon E3-1225 V6,406.19,4,3.3,3.7,73,Intel HD Graphics P630,False,2023-08-06,
Intel Core 2 Duo E7600,169.95,2,3.06,,65,,False,2023-08-06,
Intel Xeon E3-1245 V6,629.95,4,3.7,4.1,73,Intel HD Graphics P630,True,2023-08-06,
Intel Xeon E5-2637 V3,470.62,4,3.5,3.7,135,,True,2023-08-06,
Intel Celeron G530,65.86,2,2.4,,65,Intel HD Graphics,False,2023-08-06,
Intel Core i7-870,235.02,4,2.93,,95,,True,2023-08-06,
Intel Pentium G3460,54.49,2,3.5,,53,Intel HD Graphics,False,2023-08-06,
AMD Athlon II X3 435,159.94,3,2.9,,95,,False,2023-08-06,
Intel Core 2 Duo E8400,76.98,2,3.0,,65,,False,2023-08-06,
Intel Core i5-750,398.0,4,2.66,,95,,False,2023-08-06,
Intel Core i3-560,60.0,2,3.333,,73,Intel HD Graphics,True,2023-08-06,
AMD Athlon II X4 620,59.49,4,2.6,,95,,False,2023-08-06,
AMD A10-9700E,248.38,4,3.0,3.5,35,Radeon R7 (on-die),False,2023-08-06,
AMD FX-4350,108.02,4,4.2,,125,,False,2023-08-06,
Intel Xeon E5-2630L V3,410.0,8,1.8,2.9,55,,True,2023-08-06,
Intel Xeon E3-1265L V3,398.95,4,2.5,3.7,45,Intel HD Graphics,True,2023-08-06,
Intel Pentium E2140,79.95,2,1.6,,65,,False,2023-08-06,
Intel Core i3-3245,80.0,2,3.4,,55,Intel HD Graphics 4000,True,2023-08-06,
Intel Core i5-8600,283.58,6,3.1,4.3,65,Intel UHD Graphics 630,False,2023-08-06,
Intel Xeon E3-1230,417.95,4,3.2,,80,,True,2023-08-06,
AMD A6-7470K,89.0,2,3.7,4.0,65,Radeon R5 (on die),False,2023-08-06,
Intel Core i7-7820X,449.88,8,3.6,4.5,140,,True,2023-08-06,
Intel Xeon E5-1620 V4,149.0,4,3.5,3.8,140,,True,2023-08-06,
Intel Pentium E2160,49.0,2,1.8,,65,,False,2023-08-06,
Intel Xeon E3-1240 V2,345.0,4,3.4,,69,,True,2023-08-06,
Intel Core i3-4330,96.95,2,3.5,,54,Intel HD Graphics 4600,True,2023-08-06,
Intel Core i7-6800K,355.86,6,3.4,3.6,140,,True,2023-08-06,
Intel Pentium Gold G6600,158.64,2,4.2,,58,Intel UHD Graphics 630,True,2023-08-06,
Intel Core i5-4670S,533.0,4,3.1,3.8,65,Intel HD Graphics 4600,False,2023-08-06,
Intel Pentium G4560T,79.98,2,2.9,,35,Intel HD Graphics 610,True,2023-08-06,
Intel Celeron G5920,59.97,2,3.5,,58,Intel UHD Graphics 610,False,2023-08-06,
Intel Core i5-7500T,250.0,4,2.7,3.3,35,Intel HD Graphics 630,False,2023-08-06,
Intel Xeon E3-1240 V6,455.12,4,3.7,4.1,72,,True,2023-08-06,
AMD Athlon II X2 220,64.49,2,2.8,,65,,False,2023-08-06,
Intel Xeon E5-2650L,189.95,8,1.8,2.3,70,,True,2023-08-06,
Intel Xeon E-2274G,578.99,4,4.0,4.9,83,Intel HD Graphics P630,True,2023-08-06,
Intel Pentium E2200,54.0,2,2.2,,65,,False,2023-08-06,
Intel Core i7-860,198.25,4,2.8,,95,,True,2023-08-06,
Intel Core i7-6900K,305.86,8,3.2,3.7,140,,True,2023-08-06,
Intel Core i3-6300T,90.03,2,3.3,,35,Intel HD Graphics 530,True,2023-08-06,
Intel Core 2 Duo E6850,98.95,2,3.0,,65,,False,2023-08-06,
Intel Pentium G6950,47.48,2,2.8,,73,Intel HD Graphics,False,2023-08-06,
Intel Xeon E-2174G,535.27,4,3.8,4.7,71,Intel HD Graphics P630,True,2023-08-06,
AMD A6-9500E,139.0,2,3.0,3.4,35,Radeon R5 (on die),False,2023-08-06,
Intel Core i5-660,255.29,2,3.33,,73,Intel HD Graphics,True,2023-08-06,
Intel Core i5-661,95.0,2,3.33,,87,Intel HD Graphics,True,2023-08-06,
Intel Core i7-860S,100.0,4,2.53,,82,,True,2023-08-06,
Intel Core 2 Extreme QX6700,605.64,4,2.66,,100,,False,2023-08-06,
Intel Core i3-2105,60.0,2,3.1,,65,Intel HD Graphics 3000,True,2023-08-06,
Intel Pentium G870,77.0,2,3.1,,65,Intel HD Graphics,False,2023-08-06,
Intel Xeon E3-1225 V2,247.5,4,3.2,,77,Intel HD Graphics P4000,False,2023-08-06,
Intel Xeon E5-2643 V2,398.95,6,3.5,3.8,130,,True,2023-08-06,
Intel Xeon E5-2643 V3,549.95,6,3.4,3.7,135,,True,2023-08-06,
AMD Opteron 6320,235.6,8,2.8,3.3,115,,False,2023-08-06,
Intel Core 2 Quad Q9505,249.95,4,2.83,,95,,False,2023-08-06,
Intel Pentium G4600,229.95,2,3.6,,51,Intel HD Graphics 630,True,2023-08-06,
Intel Xeon E-2136,806.0,6,3.3,4.5,80,,True,2023-08-06,
AMD Phenom II X4 830,59.58,4,2.8,,95,,False,2023-08-06,
Intel Pentium G860,72.98,2,3.0,,65,Intel HD Graphics,False,2023-08-06,
AMD Opteron 6320,249.01,8,2.8,3.3,115,,False,2023-08-06,
Intel Xeon E3-1220,115.0,4,3.1,,80,,False,2023-08-06,
Intel Core i7-965 Extreme Edition,798.95,4,3.2,,130,,True,2023-08-06,
Intel Xeon E5-2620 V3,149.94,6,2.4,3.2,85,,True,2023-08-06,
Intel Xeon E5-2660 V3,198.95,10,2.6,3.3,105,,True,2023-08-06,
Intel Xeon E-2236,446.95,6,3.4,4.8,80,,True,2023-08-06,
AMD Athlon II X4 635,63.14,4,2.9,,95,,False,2023-08-06,
Intel Core i3-6320,130.0,2,3.9,,51,Intel HD Graphics 530,True,2023-08-06,
AMD A4-6300B,49.95,2,3.7,3.9,65,Radeon HD 8370D,False,2023-08-06,
